Gene,IG Score Before Training,IG Score After Training,Difference
PNRC1,0.19331428,0.19333784,2.3558736e-05
TXNDC5,0.17751047,0.17753392,2.3454428e-05
OSBPL10,0.23295166,0.23297511,2.3454428e-05
EPSTI1,0.2558672,0.25589067,2.3454428e-05
UBE3C,0.19195808,0.19198127,2.3186207e-05
ABCC4,0.27850977,0.27853286,2.30968e-05
BTBD2,0.15459028,0.15461333,2.3052096e-05
TMED1,0.2568491,0.25687197,2.2858381e-05
DHX40,0.24559343,0.24561627,2.284348e-05
DDX5,0.392006,0.39202872,2.270937e-05
YWHAZ,0.9203204,0.9203431,2.270937e-05
NAT8L,0.27640313,0.27642548,2.2351742e-05
PDIA3,0.13705912,0.1370813,2.2172928e-05
COTL1,0.31773317,0.3177552,2.2023916e-05
