Gene,SPACER Score Before Training,SPACER Score After Training,Difference
ZBTB47,-1.0,2.361884832382202,3.361884832382202
DGCR2,-1.0,2.3618459701538086,3.3618459701538086
TMEM30A,-1.0,2.357304573059082,3.357304573059082
H3F3A,-1.0,2.3490405082702637,3.3490405082702637
BMP2K,-1.0,2.348519802093506,3.348519802093506
DSG2,-1.0,2.341771364212036,3.341771364212036
METRN,-1.0,2.340754508972168,3.340754508972168
CLMN,-1.0,2.336864709854126,3.336864709854126
THOC2,-1.0,2.3298521041870117,3.3298521041870117
UBE2H,-1.0,2.3288662433624268,3.3288662433624268
FLNB,-1.0,2.3241565227508545,3.3241565227508545
PAICS,-1.0,2.3174619674682617,3.3174619674682617
PITRM1,-1.0,2.3151161670684814,3.3151161670684814
ACSF2,-1.0,2.308213233947754,3.308213233947754
ZFPL1,-1.0,2.3080332279205322,3.3080332279205322
KRT19,-1.0,2.3047704696655273,3.3047704696655273
TRMT2A,-1.0,2.2980875968933105,3.2980875968933105
ACAD9,-1.0,2.297370195388794,3.297370195388794
NUPR1,-1.0,2.2919857501983643,3.2919857501983643
ZNF185,-1.0,2.2911062240600586,3.2911062240600586
PPP2CB,-1.0,2.290977954864502,3.290977954864502
NOTCH2,-1.0,2.2818472385406494,3.2818472385406494
TSEN34,-1.0,2.281581163406372,3.281581163406372
GGH,-1.0,2.2804579734802246,3.2804579734802246
IAH1,-1.0,2.269333839416504,3.269333839416504
ZMYM3,-1.0,2.2691802978515625,3.2691802978515625
RUVBL2,-1.0,2.262092351913452,3.262092351913452
XPO1,-1.0,2.2594058513641357,3.2594058513641357
H3F3B,-1.0,2.258913278579712,3.258913278579712
MYO5B,-1.0,2.251862049102783,3.251862049102783
TBC1D16,-1.0,2.2502281665802,3.2502281665802
VTCN1,-1.0,2.2430479526519775,3.2430479526519775
TMOD1,-1.0,2.2406647205352783,3.2406647205352783
THSD4,-1.0,2.234672784805298,3.234672784805298
TUG1,-1.0,2.2324047088623047,3.2324047088623047
RBMS2,-1.0,2.2290689945220947,3.2290689945220947
ADIPOR2,-1.0,2.2254798412323,3.2254798412323
TARS,-1.0,2.2240777015686035,3.2240777015686035
SHMT2,-1.0,2.222405195236206,3.222405195236206
MRPS7,-1.0,2.2211086750030518,3.2211086750030518
MAST3,-1.0,2.2210006713867188,3.2210006713867188
AARS,-1.0,2.216575860977173,3.216575860977173
BCLAF1,-1.0,2.2154603004455566,3.2154603004455566
UBAC2,-1.0,2.2121682167053223,3.2121682167053223
PLXNA3,-1.0,2.2116317749023438,3.2116317749023438
AGAP9,-1.0,2.2094502449035645,3.2094502449035645
TRIB3,-1.0,2.202143669128418,3.202143669128418
LDOC1,-1.0,2.200596332550049,3.200596332550049
CAPN1,-1.0,2.2004542350769043,3.2004542350769043
TMEM214,-1.0,2.192561149597168,3.192561149597168
EXOC3,-1.0,2.1901819705963135,3.1901819705963135
MKRN1,-1.0,2.18819260597229,3.18819260597229
HOMER2,-1.0,2.1858670711517334,3.1858670711517334
CDK7,-1.0,2.181124210357666,3.181124210357666
RBM14,-1.0,2.1787989139556885,3.1787989139556885
TEAD1,-1.0,2.1786105632781982,3.1786105632781982
ZC3H14,-1.0,2.1777431964874268,3.1777431964874268
RHOU,-1.0,2.1766886711120605,3.1766886711120605
RAB43,-1.0,2.1755189895629883,3.1755189895629883
TMLHE,-1.0,2.173267364501953,3.173267364501953
NONO,-1.0,2.1718673706054688,3.1718673706054688
SPATA20,-1.0,2.168958902359009,3.168958902359009
FNTA,-1.0,2.1656274795532227,3.1656274795532227
DTX4,-1.0,2.1650991439819336,3.1650991439819336
SARS,-1.0,2.15848708152771,3.15848708152771
ACSS3,-1.0,2.156256675720215,3.156256675720215
FBN3,-1.0,2.1512675285339355,3.1512675285339355
STAMBP,-1.0,2.148327350616455,3.148327350616455
MATR3,-1.0,2.143775701522827,3.143775701522827
PITPNB,-1.0,2.141143798828125,3.141143798828125
COL7A1,-1.0,2.1375460624694824,3.1375460624694824
DOK5,-1.0,2.12953519821167,3.12953519821167
FAM3A,-1.0,2.129105806350708,3.129105806350708
IDUA,-1.0,2.126349449157715,3.126349449157715
PFKP,-1.0,2.125823497772217,3.125823497772217
DROSHA,-1.0,2.1214816570281982,3.1214816570281982
MYH14,-1.0,2.1191351413726807,3.1191351413726807
RNF146,-1.0,2.118256092071533,3.118256092071533
TRIM26,-1.0,2.1141042709350586,3.1141042709350586
MYO15B,-1.0,2.107887029647827,3.107887029647827
CNOT1,-1.0,2.1066782474517822,3.1066782474517822
IRX5,-1.0,2.104858636856079,3.104858636856079
WFS1,-1.0,2.1047677993774414,3.1047677993774414
FRG1,-1.0,2.102848768234253,3.102848768234253
AP1G2,-1.0,2.09930157661438,3.09930157661438
ZNF787,-1.0,2.0975987911224365,3.0975987911224365
D2HGDH,-1.0,2.0971262454986572,3.0971262454986572
